v17,v24af,kon,v75,v76
3,0,2,63,165
4,2,2,60,159
3,1,2,70,165
3,0,2,75,180
4,0,2,59.5,175
3,,2,75,160
3,0,2,65,174
2,0,2,62,170
3,0,2,85,178
3,0,2,60,165
3,0,2,84,
3,0.5,2,70,168
3,1,2,78,168
3,0,2,59,172
3,0,2,82,176
1,0,2,59,170
2,0,2,80,180
3,0,2,60,165
3,1,2,80,179
3,0,2,81,169
3,0,2,49,170
3,0,2,58,168
3,1,2,80,180
3,2,2,68,154
3,4,2,60,170
3,0,2,73,165
2,0,2,65,170
3,,2,62,167
3,2,2,78,180
3,0,2,76,170
3,5,2,46,160
3,0,2,56,165
3,0,2,56,161
4,1,2,70,162
3,,2,67,167
3,0,2,107,179
3,0,2,64,172
2,10,2,78,176
3,0,2,53,163
3,0,2,54,172
3,0,2,68,170
2,0,2,65,164
2,4,2,75,180
,0,2,69,168
3,0,2,67,163
3,0,2,70,162
3,1.5,2,61,176
3,0,2,67,180
3,0,2,60,176
3,1,2,65,172
3,0,2,60,162
3,2,2,58,169
3,0,2,65,164
4,0,2,60,162
3,0,2,,169
3,,2,65,168
3,0,2,68,174
3,0,2,56,170
3,0,2,58,173
4,2,2,70,160
3,2,2,55,163
3,0,2,80,150
3,0,2,70,172
3,0,2,67,174
3,0,2,,162
4,0,2,100,173
3,0,2,67,179
3,3,2,85,168
4,,2,72.5,168
3,12,2,66,172
4,0,2,50,157
4,1,2,,171
3,0,2,69,175
2,0,2,60,167
2,0,2,68,170
4,,2,52,150
4,5.5,2,100,164
3,0,2,62,157
3,0,2,75,
3,0,2,60,157
3,0,2,58,164
3,0,2,55,168
3,0,2,58,172
3,0,2,61,165
3,0,2,62,169
3,1,2,57,157
2,0,2,90,170
4,,2,70,162
3,0,2,52,162
3,0,2,62,161
4,0,2,95,162
3,2,2,67,167
2,0,2,76,176
3,0,2,61,170
3,0,2,73,165
3,0,2,70,174
3,0,2,86,176
3,,2,52,
3,,2,64,180
4,0,2,70,
3,,2,53,163
3,0,2,46,162
3,0,2,55,165
,0,2,75,169
4,,2,60,170
2,0.5,2,84,
3,0,2,52,152
3,0,2,57,162
3,4,2,80,178
3,0,2,64,160
4,,2,72,174
4,,2,65,162
4,0,2,53,163
3,0,2,72,163
2,0,2,60,158
3,2,2,75,172
3,0,2,68,167
2,0,2,62,173
3,0,2,79,170
3,2,2,78,178
4,2,2,76,154
3,0,2,60,157
3,0,2,98,168
3,0,2,70,180
3,,2,56,163
3,0,2,,168
3,0,2,56,168
3,0,2,80,168
3,1,2,62,170
3,3,2,60,162
3,7,2,70,175
3,0,2,71,176
1,8,2,,167
3,0,2,55,170
3,2.5,2,92,176
3,0,2,65,169
3,0,2,76,155
3,2,2,66,150
3,,2,82,169
2,0,2,79,165
3,0,2,60,168
3,0,2,47,160
3,0,2,82,179
3,0,2,62,168
3,0,2,50,148
3,3,2,64,168
4,0,2,50,167
3,0,2,92,167
4,2,2,58,168
2,4,2,55,167
2,0,2,60,160
3,0,2,74,168
3,1,2,75,173
3,1,2,64,171
4,0,2,54,
3,0,2,75,159
3,1,2,48,158
2,1,2,78,167
3,0,2,68,169
3,0,2,85,164
2,0,2,53,168
3,0,2,73,173
3,0,2,58,164
4,0,2,65,164
3,1,2,72,167
3,1,2,64,174
4,0,2,75,167
3,0,2,64,162
3,0,2,67,162
2,0,2,55,163
,0,2,43,165
3,0,2,55,164
3,2,2,62,170
3,1,2,72,170
2,1,2,60,167
3,0,2,50,150
2,0,2,,
4,0,2,51,167
3,0,2,75,163
3,0,2,71,170
3,1,2,58,165
3,1,2,70,
,,2,74,169.5
3,7,2,117,182
3,0,2,48,162
3,0,2,48,168
3,0,2,55,164
2,0,2,80,160
3,0,2,75,168
3,0,2,65,166
3,0,2,50,150
,0,2,69,180
